strategy,forecast,year,load_profile,load_tot,pv_profile,pv_capacity,pv_tot,bat_capacity,degradation,bat_deg_kWh,delta_SOH,delta_SOH_float,delta_SOH_cyc,aging_factor,aging_factor_float,aging_factor_cyc,scr,ssr,wasted_energy,el_bill,bat_usage_cost,total_cost
MILP-YEAR,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.5,degr,0.18408468748689977,0.06818341687811161,0.03559681834989184,0.032586598528219754,0.06865229313261792,0.038857077229459844,0.033247099853046524,0.9782080748366447,0.19912283770515593,0.0,1270.9111528823362,613.6507519030466,1884.561904785383
MILP-YEAR,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.315904774429086,degr,0.1754952817515587,0.06500210405258726,0.03499486113102521,0.030007242921562045,0.06633864386385364,0.03851869810272866,0.030994969309764406,0.9482961734365372,0.16054179360802634,0.0,2403.1993554541477,585.0189364733237,2988.2182919274715
MILP-YEAR,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.140399093487089,degr,0.1734168808303238,0.06423227510078433,0.035115686563826826,0.029116588536957512,0.06642913312190447,0.039048411631954764,0.030458693973170328,0.8294329881509429,0.17023598227563783,0.0,2640.236852264824,578.0904759070947,3218.3273281719185
MILP-YEAR,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.5,degr,0.19288222411377376,0.07144176119832835,0.03504996941877036,0.03639179177955798,0.07195671118225128,0.03812673386751482,0.03698225290669711,0.964839910769649,0.2253524740566971,0.0,1105.0446580045136,642.9758507850158,1748.0205087895295
MILP-YEAR,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.307107244764495,degr,0.17965841843256136,0.06654400272816371,0.03496884036764945,0.03157516236051426,0.06796816416387469,0.03826327438379989,0.032603053996871835,0.9262035410877371,0.18013020822675965,0.0,2032.540024394957,598.8960245535261,2631.4360489484834
MILP-YEAR,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.127438437398435,degr,0.17965845311205086,0.06654396291014295,0.03504602553074991,0.03149793737939304,0.06890481140211578,0.03891031709676443,0.03292938902900853,0.8689432366960321,0.20733542955537393,0.0,2255.702392603386,598.8956661913329,2854.5980587947192
MILP-YEAR,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.5,degr,0.1975185316960566,0.07315891079579241,0.03544641312387524,0.03771249767191719,0.0736990144830277,0.038569637115673315,0.038438261950094706,0.9537708771187796,0.20161759171015023,0.0,1168.9547394411782,658.4301971622012,1827.3849366033794
MILP-YEAR,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.30247094085134,degr,0.18668646649546794,0.06914698007329238,0.03478098733780939,0.03436599273548299,0.07067046377659032,0.038100503458322214,0.03547276274640796,0.9740853051032733,0.16322758435060575,0.0,2194.5588230219846,622.3228206596979,2816.8816436816824
MILP-YEAR,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.11577409465343,degr,0.18725336884754284,0.06935688901899356,0.03461525617176427,0.034741632847229295,0.0719028553982745,0.038498093255680405,0.03639813916846877,0.8083588423612695,0.12515263646497227,0.0,3605.901515020981,624.2120011710084,4230.113516191989
MILP-YEAR,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.5,degr,0.1939524088205964,0.07183812559087809,0.03507006263941753,0.03676806295146055,0.07235881850684954,0.03807759089869041,0.037432544367965656,0.9268243037734245,0.27574152821184966,0.0,780.3055676377653,646.5431303179747,1426.8486979557401
MILP-YEAR,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.306037060904607,degr,0.18195822323708377,0.06739578129762462,0.034748602424661504,0.03264717887296311,0.06884974536446367,0.038034787398282185,0.033660562980630346,0.8764763814652461,0.20896439065562508,0.0,1597.852939111395,606.5620316786809,2204.414970790076
MILP-YEAR,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.124068451401005,degr,0.1781263875275929,0.0659765306734862,0.03509951810476732,0.030877012568718894,0.06833088182035085,0.03893079136064931,0.032347026715855015,0.7929412982208051,0.22204515999614305,0.0,1718.1978174032638,593.7887760614238,2311.9865934646878
MPC-BC,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.5,degr,0.09234490088503122,0.03420574502629965,0.033603643069022464,0.0006021019572771886,0.03432327088945248,0.03410578807619634,0.0020738306999028067,0.7318163168490248,0.14896763320446724,4.9694415249490476e-12,1380.1243930927556,307.8517052366965,1687.976098329452
MPC-BC,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.407644488428993,degr,0.09151355531485983,0.03389781243315287,0.03321320541845459,0.000684607014698273,0.034248323548846465,0.034007339236333325,0.0020087646434639363,0.7083868722236907,0.11992635024882543,7.210639425825338e-07,2632.6849296804994,305.0803118983754,2937.765241578875
MPC-BC,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.316120394859478,degr,0.09868491174349892,0.036553841441314065,0.032567446433212674,0.003986395008101392,0.0371965989719917,0.03418717910570455,0.004868531985565634,0.7222880414361156,0.14824514575184364,1.1836753799343569e-11,2974.329595454834,328.9845729718262,3303.31416842666
MPC-BC,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.5,degr,0.09238369755865605,0.03422011418015524,0.03360911135029652,0.0006110028298587253,0.03433773904704005,0.0340910326672787,0.0019561821014281076,0.6994650348824539,0.1633702901045803,3.776451373838086e-12,1218.1884197328425,307.9810276213968,1526.1694473542393
MPC-BC,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.40760569171358,degr,0.09176300763283152,0.03399020209606297,0.03319377077706209,0.0007964313190008716,0.034342089410480184,0.03400802946905238,0.002013827993367091,0.6984275886287117,0.13583181384002718,5.952016657317927e-12,2240.0422485661556,305.91181886456627,2545.954067430722
MPC-BC,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.31583214605421,degr,0.09886056105381513,0.03661889660545896,0.03257594737893254,0.0040429492265264206,0.037263855098878494,0.03417620357122778,0.004800200288958559,0.7562128237346377,0.18043722998577238,7.759376474680835e-12,2556.056000744129,329.57006944913024,2885.6260701932592
MPC-BC,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.5,degr,0.0923318809517717,0.03420092283261266,0.033635502332311225,0.0005654205003014357,0.034318415462280885,0.03409788790394483,0.0020050627636930157,0.5340438670128703,0.11289151400803513,2.7333768140569425e-07,1299.133190350743,307.80830549351356,1606.9414958442567
MPC-BC,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.407657508351946,degr,0.0915890639102237,0.03392577856126903,0.03330240088916506,0.0006233776721039682,0.034276642412564465,0.0340139282593122,0.0017803229620136718,0.5830467052873461,0.09770120211139324,6.964456789049223e-12,2385.7909551310145,305.33200705142093,2691.1229621824355
MPC-BC,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.31605790623652,degr,0.10107188865830352,0.03743790624735893,0.032703867010996764,0.004734039236362173,0.03809981308438832,0.03426260134317385,0.005433682351089272,0.5349708175817405,0.08282585003536597,7.246259148274703e-12,3924.014966741126,336.94115622623104,4260.956122967357
MPC-BC,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.5,degr,0.09225007439784605,0.03417062413291403,0.03355266413462054,0.0006179599982934923,0.03428790827755625,0.034097958345416284,0.0021091402425338786,0.5552785722501299,0.1652021440009363,2.733380949082598e-07,901.3635178772082,307.5356171962258,1208.899135073434
MPC-BC,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.407739314841132,degr,0.09140762342161857,0.033858578457463845,0.03324460329302846,0.0006139751644353821,0.03420830522468791,0.033998257938877396,0.0020121729711282035,0.5042944189157997,0.12023093626733523,6.423944709510465e-12,1799.7543957868736,304.7272061171742,2104.4816019040477
MPC-BC,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.31632115300598,degr,0.09893775314867348,0.03664748639092805,0.03252990620013155,0.004117580190796501,0.03729168193315768,0.03416338549372172,0.004960340933106513,0.5954285418610884,0.16673620877166034,7.721865901144653e-07,2012.7134918840463,329.827377518352,2342.540869402398
MPC,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.5,degr,0.17399740226563765,0.06444738827134038,0.03357558008376868,0.030871808187571702,0.06486606297774272,0.036689721526033656,0.0314463577091006,0.9553157653589629,0.19446290722402404,8.811840146449867e-13,1341.6822219670257,580.0264944421046,1921.7087164091304
MPC,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.325992051667368,degr,0.1638277937377186,0.06068081857209493,0.03324021240277098,0.02744060616932395,0.0618539543919719,0.03665428134130476,0.02842395145199887,0.9270139036132575,0.15693881189705147,1.0440537323574972e-12,2600.0782281993625,546.1273671488871,3146.2055953482495
MPC,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.162153841522702,degr,0.16745866343751103,0.06202553604113655,0.03285330159867098,0.02917223444246557,0.06402552205812935,0.03665863751511438,0.030516552752686985,0.8360116459456539,0.17158621103159138,3.1215308116117058e-12,2900.632328704456,558.2298243702626,3458.8621530747187
MPC,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.5,degr,0.18283376871413282,0.06772011399559076,0.03351602872580101,0.03420408526978974,0.06818255482576122,0.036419563796066895,0.03480314506483214,0.9342488648776655,0.21820748782759167,1.6239232181192165e-12,1168.519460575987,609.4810259603688,1778.0004865363558
MPC,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.31715569221189,degr,0.1667765701107804,0.061772954515213904,0.03283087979653027,0.02894207471868364,0.06301627392408367,0.0359606999895202,0.029866085066519305,0.8855626356112865,0.1722262708725581,1.5126233599005445e-12,2200.670611501415,555.9565906369571,2756.627202138372
MPC,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.150368715020802,degr,0.17207060250649242,0.06373365681613724,0.032816899570139405,0.030916757245997836,0.06585969692884541,0.03663536988132582,0.0322953584418547,0.8607010246598393,0.20536878489914961,3.2784885917180873e-12,2477.7057582822717,573.6029113452837,3051.3086696275554
MPC,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.5,degr,0.18694307089421613,0.0692420765615237,0.033812574784738134,0.03542950177678557,0.06972561105083469,0.036616818158965156,0.036130502897883776,0.9168708101741045,0.19381728787428232,1.3929690734215683e-12,1228.101925424886,623.1786890537801,1851.2806144786662
MPC,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.313046393283866,degr,0.17712960024709012,0.06560740588223504,0.0334060250567525,0.032201380825482545,0.06697493559403492,0.03644760282169891,0.0332025137543943,0.9467772612278943,0.15865157236093108,7.673306434696769e-13,2323.4855585009236,590.4666529401754,2913.9522114410993
MPC,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.135906397401811,degr,0.17795411195742794,0.06591272842704311,0.033509076998317636,0.03240365142872547,0.068202337625877,0.037154631261037505,0.03396180278033794,0.7906357533675374,0.1224086925657632,2.8893276660113543e-12,3840.7992604739266,593.2145558434476,4434.013816317374
MPC,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.5,degr,0.18630164196775922,0.0690045104804744,0.03348815920008237,0.03551635128039204,0.06948473161623048,0.03657302484216349,0.036182409592343034,0.8933784812836021,0.2657909883219285,2.622013717257232e-12,838.6911659898083,621.0405943243317,1459.73176031414
MPC,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.3136878217027,degr,0.173169037787682,0.0641405322461485,0.033047614559771586,0.03109291768637692,0.06546450124314179,0.03622700677630941,0.032132019820119276,0.847573964313398,0.2020736448051619,2.2552515410723117e-12,1744.2761362876417,577.2647902153826,2321.5409265030244
MPC,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.140508384638084,degr,0.17319268342948035,0.06414923912414412,0.03262517063734207,0.031524068486802045,0.06634207085938901,0.036450037818292244,0.03300611047438873,0.8045581817415507,0.22529820377858736,4.700073663599369e-12,1925.3141461442901,577.3431521173396,2502.65729826163
NO-BATTERY,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934099353081286,0.14114967721418648,0.0,1390.2759886325364,0.0,1390.2759886325364
NO-BATTERY,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6653783074436607,0.11264521559521704,0.0,2644.331908430536,0.0,2644.331908430536
NO-BATTERY,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6623520377775931,0.13594365231928682,0.0,3041.4932638674886,0.0,3041.4932638674886
NO-BATTERY,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600024234990584,0.15415321998888384,0.0,1228.3205734134522,0.0,1228.3205734134522
NO-BATTERY,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555527655838109,0.1274934190270539,0.0,2252.0147111325837,0.0,2252.0147111325837
NO-BATTERY,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6959966931955353,0.16606927502135083,0.0,2621.9498506800323,0.0,2621.9498506800323
NO-BATTERY,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48701844777158493,0.1029508123111774,0.0,1311.1250875015428,0.0,1311.1250875015428
NO-BATTERY,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363113170714674,0.08986974784121834,0.0,2397.5235998331223,0.0,2397.5235998331223
NO-BATTERY,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4500508963032163,0.06967828303979721,0.0,3990.3294966708654,0.0,3990.3294966708654
NO-BATTERY,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5098871484534143,0.151697642107255,0.0,913.180238524863,0.0,913.180238524863
NO-BATTERY,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4564996760497943,0.10883599222692572,0.0,1812.2602097597025,0.0,1812.2602097597025
NO-BATTERY,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,0.0,degr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154619193109219,0.14434337649221657,0.0,2085.896688108606,0.0,2085.896688108606
RL-BC,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.08957904887296841,0.03388911333240685,0.03388911333240685,0.0,0.034002074979980534,0.034002074979980534,0.0,0.6934099348716867,0.14114967712534487,0.0,1390.275987655094,305.00201993435587,1695.2780075894498
RL-BC,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.410400099316076,degr,0.08873684292717954,0.03357050497425007,0.03357050497425007,0.0,0.033907108169842104,0.033907108169842104,0.0,0.6653783075625336,0.11264521561534163,0.0,2644.331910259688,302.13454468548264,2946.4664549451704
RL-BC,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.321652933959816,degr,0.08815985555927597,0.03335222138912286,0.03335222138912286,0.0,0.03391106512026454,0.03391106512026454,0.0,0.6623520377943626,0.13594365232272868,0.0,3041.4932650560177,300.1699925623831,3341.6632576184006
RL-BC,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.08957904887296841,0.03388911333240685,0.03388911333240685,0.0,0.034002074979980534,0.034002074979980534,0.0,0.6600024241515473,0.1541532201412822,0.0,1228.3205720553674,305.00201993435587,1533.3225919897232
RL-BC,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.410400099316076,degr,0.08873684292717954,0.03357050497425007,0.03357050497425007,0.0,0.033907108169842104,0.033907108169842104,0.0,0.6555527660502063,0.12749341911775955,0.0,2252.0147105003116,302.13454468548264,2554.149255185794
RL-BC,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.321652933959816,degr,0.08815985555927597,0.03335222138912286,0.03335222138912286,0.0,0.03391106512026454,0.03391106512026454,0.0,0.6959966936130161,0.16606927512096442,0.0,2621.9498518307946,300.1699925623831,2922.1198443931776
RL-BC,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.08957904887296841,0.03388911333240685,0.03388911333240685,0.0,0.034002074979980534,0.034002074979980534,0.0,0.4870184472922745,0.102950812209856,0.0,1311.1250857031403,305.00201993435587,1616.1271056374962
RL-BC,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.410400099316076,degr,0.08873684292717954,0.03357050497425007,0.03357050497425007,0.0,0.033907108169842104,0.033907108169842104,0.0,0.5363113168383454,0.08986974780215408,0.0,2397.5235976598515,302.13454468548264,2699.658142345334
RL-BC,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.321652933959816,degr,0.08815985555927597,0.03335222138912286,0.03335222138912286,0.0,0.03391106512026454,0.03391106512026454,0.0,0.4500508962703266,0.06967828303470512,0.0,3990.3294977656587,300.1699925623831,4290.499490328042
RL-BC,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.08957904887296841,0.03388911333240685,0.03388911333240685,0.0,0.034002074979980534,0.034002074979980534,0.0,0.5098871484302993,0.15169764210037798,0.0,913.1802387777162,305.00201993435587,1218.182258712072
RL-BC,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.410400099316076,degr,0.08873684292717954,0.03357050497425007,0.03357050497425007,0.0,0.033907108169842104,0.033907108169842104,0.0,0.4564996761064657,0.10883599224043698,0.0,1812.2602089925542,302.13454468548264,2114.394753678037
RL-BC,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.321652933959816,degr,0.08815985555927597,0.03335222138912286,0.03335222138912286,0.0,0.03391106512026454,0.03391106512026454,0.0,0.5154619192770341,0.14434337648272705,0.0,2085.8966881156734,300.1699925623831,2386.0666806780564
RL,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.1615215373640062,0.06009490023052104,0.03714264512927912,0.022952255101241922,0.06045787370203164,0.04010368941362685,0.023590239661907937,0.9419663696184227,0.1917455205760459,17.46478721499442,1338.400329427041,540.8541016094384,1879.2544310364794
RL,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.338457666570424,degr,0.1480891761441736,0.05521846209285143,0.03888068213154838,0.016337779961303048,0.056200281326253744,0.04177488316190647,0.017161951654540222,0.8669846669781982,0.14677616272871333,24.5040763169527,2604.8025042172926,496.9661593362686,3101.768663553561
RL,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.190358269732284,degr,0.20438814730977306,0.0758646921294694,0.059822430086114764,0.01604226204335464,0.0782532267121476,0.06376884368000901,0.01704638811363445,0.7967976333542586,0.16353777788770665,71.25278812646866,2974.8652394789938,682.7822289429603,3657.647468421954
RL,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.16858850445145457,0.06272212256043991,0.036147500459719595,0.026574622100720306,0.06311785113302404,0.03890566240761473,0.027165770476518004,0.9417616979207064,0.2199622198764283,18.48708474636077,1162.947430123067,564.4991028532384,1727.4465329763054
RL,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.331390704958888,degr,0.15171764563750934,0.056553749771408646,0.03731949874645579,0.01923425102495285,0.057597902154609734,0.040106416875914874,0.019970537276388707,0.8691222812541715,0.16902891270850814,33.406492173671715,2203.8951320739466,508.98374808579655,2712.878880159743
RL,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.179662846914876,degr,0.16793821951002919,0.06250612503117457,0.040516196302633034,0.021989928728541528,0.06443717281126428,0.04408354659926772,0.023084143574405237,0.8431069166589691,0.20117071788400795,77.59573558717966,2520.7440432350345,562.5551255755124,3083.2991688105467
RL,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.1902325139388541,0.07081184425486933,0.03603683046685546,0.03477501378801387,0.07131629486820404,0.03877140058148143,0.035399725425545196,0.9353361729905858,0.1977206802617283,22.11057493090628,1227.8125222894635,637.3065979778764,1865.11912026734
RL,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.309746712242571,degr,0.17047474433133125,0.0634557449752669,0.03519150373085722,0.02826424124440969,0.06477900312619889,0.03814173091905104,0.029246965826287857,0.9145774200876962,0.15325584135231007,39.68679745495318,2333.0357492956273,571.1017051860688,2904.1374544816963
RL,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.139261786809945,degr,0.18772780360067998,0.06977573547873733,0.043137446262790036,0.026638289215947297,0.07220910563000278,0.04694897357876471,0.027923137821728228,0.7343012436398342,0.11368680811678634,101.79057750105858,3890.548910651109,627.9816191494463,4518.530529800555
RL,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.499989539384842,degr,0.18036440803272136,0.06706748193527673,0.0359015098092641,0.03116597212601263,0.06752038148533115,0.03878289113617939,0.03168741164352315,0.9030469042328039,0.26866746200583735,16.016444012522683,834.7723555675144,603.6073381677268,1438.3796937352413
RL,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.3196148105023,degr,0.16780739299777991,0.06250726701818748,0.03801230643148301,0.02449496058670448,0.0637568871466071,0.041012253469489224,0.025335276201430786,0.8151262864554272,0.19433765855936508,38.03859198093413,1753.061632269596,562.565402433276,2315.627034702872
RL,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.15179722669,degr,0.16500182386731943,0.0613951089665049,0.03990028407883983,0.02149482488766507,0.06341971894334804,0.04363756963448395,0.022566087599614947,0.7411294501959726,0.20753643140528313,106.996120929718,1994.7691431399953,552.5559805594382,2547.325123699434
SCM,naive,2020,L11,17392.89,south,4kWp,3540.4753873780737,13.5,degr,0.14235116392051594,0.052726568530376834,0.033798099787666215,0.01892846874271062,0.05300633908564799,0.035467933436440294,0.01931757955879508,0.9836882037068677,0.2002383660264806,0.0,1348.5762020593877,474.5391167734303,1823.115318832818
SCM,naive,2021,L11,19023.690000000002,south,4kWp,3220.6154566408404,13.35763826496797,degr,0.14090929240672878,0.052192500739126624,0.033795441205485485,0.018397059533641145,0.05302876617217034,0.035828351604769104,0.018947174574148087,0.9754001532164555,0.1651303616626827,0.0,2607.7032239630344,469.7325066521781,3077.4357306152124
SCM,naive,2022,L11,16640.28,south,4kWp,3415.3143793530103,13.216718512972315,degr,0.1436387666559309,0.05320337502306158,0.033198184704074304,0.02000519031898728,0.05464097856319194,0.035655898192422486,0.02088466715427446,0.9828501238672986,0.2017238989243494,0.0,3048.185965470803,478.83037520758575,3527.0163406783886
SCM,naive,2020,L12,15158.439999999999,south,4kWp,3540.4753873780737,13.5,degr,0.14731275521627651,0.054564193481934614,0.03414730201448758,0.020416891467447032,0.05486386945902838,0.03579183507298998,0.020826624753615453,0.9686049062666495,0.22623184382632508,0.0,1170.4241662090662,491.0777413374485,1661.5019075465148
SCM,naive,2021,L12,16559.94,south,4kWp,3220.6154566408404,13.352676677598764,degr,0.1376319153589236,0.05097865689443425,0.034611142558742036,0.016367514335692213,0.05180842870730823,0.036497859934911434,0.01687596489123804,0.9336403374056723,0.18157653358599596,0.0,2204.940744987671,458.80791204993994,2663.7486570376113
SCM,naive,2022,L12,14313.59,south,4kWp,3415.3143793530103,13.215034303983783,degr,0.13409816673674513,0.049669821800204635,0.03362074620827826,0.016049075591926372,0.05099995457279202,0.03604220397475225,0.01667505548755496,0.9620899315231992,0.22956082837093528,0.0,2572.9708547538326,447.02839620186387,3019.9992509556964
SCM,naive,2020,L13,16748.55,south,4kWp,3540.4753873780737,13.5,degr,0.18411433905509966,0.06819439893171388,0.03392539317443416,0.03426900575727972,0.0686632939294102,0.03623092809230803,0.03472280020234922,0.9781884720052841,0.2067792262226685,0.0,1223.2709518282707,613.7495903854998,1837.0205422137706
SCM,naive,2021,L13,19219.510000000002,south,4kWp,3220.6154566408404,13.31587512288435,degr,0.1648666004120063,0.06106555851496213,0.03277566680565237,0.02828989170930976,0.062296092479216525,0.03530373230022699,0.02904104441502732,0.9930753000843878,0.16640973994966676,0.0,2324.535274944037,549.5900266347079,2874.125301578745
SCM,naive,2022,L13,22059.460000000003,south,4kWp,3415.3143793530103,13.150998114893936,degr,0.18496851185879137,0.06851065668395832,0.03299209561788201,0.035518561066076315,0.07082763428551095,0.03621539633119424,0.03688774159522484,0.9708060438255449,0.15030321871161814,0.0,3924.6992212242158,616.5959101557006,4541.295131379917
SCM,naive,2020,L9,11900.27,south,4kWp,3540.4753873780737,13.5,degr,0.17368150547536843,0.06433038955271812,0.0348578801172959,0.02947250943542222,0.06474746225745222,0.03697668193855526,0.029833243897352625,0.9357346450984301,0.27839246337166706,0.0,841.5425939939072,578.973505974526,1420.516099968433
SCM,naive,2021,L9,13508.490000000002,south,4kWp,3220.6154566408404,13.326307948207642,degr,0.1719405558399405,0.06368554299129808,0.0350321457207105,0.02865339727058758,0.06493511034413049,0.03759898822118333,0.02936316231781115,0.9096623543606864,0.21687639690138008,0.0,1748.1712491463836,573.1698869217475,2321.341136068131
SCM,naive,2022,L9,12196.365,south,4kWp,3415.3143793530103,13.154356982131118,degr,0.17143294148430321,0.06349748742307064,0.03351712667383342,0.02998036074923722,0.06559396879643015,0.03657375223509734,0.03114649262529661,0.9644473318559208,0.2700715205404373,0.0,2042.383051255274,571.4773868077035,2613.8604380629777
